,author,published_at,updated_at,like_count,text
34,Deepak Yadav,2023-09-02T11:19:17Z,2023-09-02T11:19:17Z,0,"For someone who calls isro underdog, needs a little more education/knowledge...."
35,Yogesh Jadhav• 99y ago,2023-09-02T06:44:45Z,2023-09-02T06:44:45Z,1,What do you mean by space underdog?
36,XR,2023-09-02T04:19:50Z,2023-09-02T04:22:01Z,0,It doesn&#39;t humiliate NASA. Just because the cost of a program is lower doesn&#39;t make it better. It should be reliable and long lasting which NASA is. Good things are not cheap and cheap things are not good. It&#39;s always been that way. A cheap car can make the destination just like the costly one but it wouldn&#39;t be efficient on the long run.
37,Shaurya Bisht,2023-09-01T15:19:37Z,2023-09-01T15:19:37Z,0,"let me clear here, the budget of Department of space has been increased in which ISRO is the part of it, so ISRO still have yet a low budget status"
38,Manoj Kansara,2023-09-01T13:05:43Z,2023-09-01T13:05:43Z,0,ISRO is of course more efficient
39,Tahmeed Mazumder,2023-09-01T09:14:26Z,2023-09-01T09:14:26Z,0,"Dude, Nasa is fullbof Indians as well. India just has to content with cheaper parts. Nasa could do better though."
40,kranthi kumar,2023-09-01T08:49:16Z,2023-09-01T08:49:16Z,1,Spell it as ISRO not I.S.R.O like u spell NASA.
41,Vergin,2023-09-01T04:21:17Z,2023-09-01T04:21:17Z,0,Rocket science tutorials coming soon on YouTube
42,Wei Ming Lu,2023-09-01T02:49:28Z,2023-09-01T02:49:28Z,1,"With same amount of money, Irso can do 5 times of exploration compared to its US counterpart. That&#39;s why GDP PPP Adjusted is sometime important."
43,Harsha Choudhary,2023-08-31T17:56:39Z,2023-08-31T17:56:39Z,1,Awesome video
44,Mridul Manjhi,2023-08-31T16:25:43Z,2023-08-31T16:25:43Z,0,The story behind the mission &amp; the idea  to enter Martian orbit in a very cost effective wayis very interesting. Watch &quot;Mission Mangal&quot; movie❤
45,Dileep George,2023-08-31T05:31:09Z,2023-08-31T05:31:09Z,0,"There is nothing as &#39; humiliation &#39;<br>may it be U S  &#39; nasa &#39;  / Russia          / China     / korea   / ..........<br>They may be weak in some aspects but may be very powerful in some other aspects<br>So ,<br>actually when we accomplish something  , if others admire it and term it awesome  ?<br><br>To me  it is enough !"
46,Senthilvasan Muthan,2023-08-31T04:36:41Z,2023-08-31T04:36:41Z,0,maybe a detailed breakdown will provide more insights on how the spending was done.
47,San Sas,2023-08-31T03:49:55Z,2023-08-31T03:49:55Z,0,Wait but nasa has done more with that budget no? Stop false equivalence
48,STOICsahil,2023-08-31T03:17:07Z,2023-08-31T03:17:07Z,0,bro tried best to not be indian
49,abc xyz,2023-08-30T20:06:42Z,2023-08-30T20:07:01Z,0,Actually we indians love isro and nass too.
50,AvaishSaysHi,2023-08-30T17:44:17Z,2023-08-30T17:44:17Z,0,It&#39;s often celebrated because of the cheap budget successful mission.
51,noonecares,2023-08-30T12:28:55Z,2023-08-30T12:28:55Z,2,How about the over a  billion in aid India received from the UK. While their people live in slums.?
52,M J,2023-08-30T10:23:47Z,2023-08-30T10:23:47Z,1,Im very proud of what ISRO is doing . Its in no way degrade what NASA is doing.. im hoping to see more collaboration between these two in the future.. 👍
53,🐙 squid,2023-08-30T09:32:09Z,2023-08-30T09:32:09Z,1,Impossible space research organisation 🇮🇳🔥♥️(ISRO).
54,demon slayer,2023-08-30T08:09:42Z,2023-08-30T08:09:42Z,1,nasa better than isro but great work by indians hope it becomes bigger like nasa one day
55,Soumitra Chatterjee,2023-08-30T07:03:17Z,2023-08-30T07:03:17Z,0,"NASA IS NASA.  Remember we learn from them, innovation cost money.  Repeating things with bit modification is as good as copying.  So please be sober, it’s all science."
56,A.M,2023-08-30T06:15:00Z,2023-08-30T06:15:00Z,0,So proud to for India.<br>NASA what SHAME.
57,Gurmit B.Singh,2023-08-29T20:26:23Z,2023-08-29T20:29:16Z,1,Did india pay workers ????<br>Give audited accounts from government to lowest payments ??????? a challenge to be certified by external auditors????????
58,Software facts,2023-08-29T17:29:22Z,2023-08-29T17:29:22Z,0,"It is about cost man, it is about what metals and quality they are using, NASA uses high quality systems and every part of it is the finest in the world, but for India it is not man, as an Indian I am telling that"
59,Basabraj Gupta,2023-08-29T16:06:58Z,2023-08-29T16:06:58Z,0,"I don’t think isro humiliates nasa, because we as Indians are also amazed by their work. It&#39;s just that the west which cannot accept the fact that we can also be a space superpower, gets on my nerves."
60,Kunal Ketkar,2023-08-29T08:58:46Z,2023-08-29T08:58:46Z,0,India is soon going to rule the space
61,Shreyansh Dokania,2023-08-29T05:24:01Z,2023-08-29T05:24:01Z,1,"<a href=""https://www.youtube.com/watch?v=Z_8F_jazYjc&amp;t=2m04s"">2:04</a> 7 yeas"
62,Khepri,2023-08-29T03:47:52Z,2023-08-29T03:47:52Z,0,Good job India joining the space club! From Singapore
63,RLMP Productions,2023-08-28T08:20:58Z,2023-08-28T08:20:58Z,0,Nasa: <br>We lost the Western digital calculator brain that sent us to the moon decades ago. It&#39;ll take 20 billion to go back! <br><br>IRSO with 2 billion and less technology: <br>🚀🌌🌚 Flies right passed and lands on the moon with a gameboy  coordinating the mission 🤣
64,Avik Kashyap,2023-08-28T05:53:18Z,2023-08-28T05:53:18Z,2,"If we get the same budget as the US, then India will space cruises to exoplanets.<br>That budget and achievement is an undeniable proof of India&#39;s intelligence, creativity and overall potential as a country."
65,Brijesh Singh,2023-08-28T05:10:25Z,2023-08-28T05:10:25Z,2,And now ISRO has successfully soft landed Chandrayan-3
66,doremon,2023-08-28T04:45:24Z,2023-08-28T04:45:24Z,0,when you pay below average salary and make them work like slaves even Sovite union sent rockets at cheaper rate.
67,Dark Knight,2023-08-28T02:23:36Z,2023-08-28T02:23:36Z,0,"Nothing ab humiliating anyone. Space exploration is essential for all of earth, it isn&#39;t a competition. Be it NASA, ISRO or any space agency, they all work hand in hand to make any mission successful. We should admire their work instead of shaming them. Love from India 🇮🇳"
68,arjun kapoor,2023-08-27T18:49:03Z,2023-08-27T18:49:03Z,0,That is difference between inventing and copying😂😂😂
69,Srikanth Shastry,2023-08-27T18:07:41Z,2023-08-27T18:07:41Z,0,Dream bigger my friends
70,Shidhaya-Sama,2023-08-27T17:35:57Z,2023-08-27T17:35:57Z,0,Chandrayaan-3 is cheaper than the movie Interstellar... Which is unbelievable...
71,Dr.INTROVERT,2023-08-27T17:27:44Z,2023-08-27T17:27:44Z,3,Interesting fact is that “NASA HAS SO MANY INDIAN SCIENTISTS BUT ISRO DON’T HAVE ANY AMERICAN SCIENTISTS TO BECOME SUCCESSFUL “
72,Sandeep m,2023-08-27T17:19:39Z,2023-08-27T17:19:39Z,0,ISRO 🔥
73,Phoenix3694,2023-08-27T16:42:26Z,2023-08-27T16:42:26Z,0,AND JUST WANTED TO LET YOU KNOW.. WE DID SOFT LAND OF MOON ❤
74,mani don,2023-08-27T16:16:38Z,2023-08-27T16:16:38Z,0,தமிழ்?
75,Abhi,2023-08-27T15:32:24Z,2023-08-27T15:32:24Z,2,Chandrayan 3 lander landed on moon 3 days ago only in just 73 million dollar
76,the messy dab-hand artist 🤡,2023-08-27T12:44:02Z,2023-08-27T12:44:02Z,2,Well we indians usually class it as IS-RO insted of I S R O
77,ramu royals,2023-08-27T11:06:50Z,2023-08-27T11:06:59Z,1,It is acronym ISRO
78,Shubham Singh,2023-08-27T08:20:17Z,2023-08-27T08:20:17Z,1,Pay Parity left the chat. 😂
79,ram,2023-08-27T08:13:08Z,2023-08-27T08:13:08Z,0,"Its stupid to compare budget like this , these kind of space programs mostly use their country people for research  and development due to confidentiality ...the manufacturing and everything depends on human work..and salary of both countries differ...maybe we should compare the budget adjusted for gdp growth..."
80,Prakash,2023-08-27T07:56:05Z,2023-08-27T07:56:05Z,0,SpaceX has brought down the costs to a fraction of NASA
81,The UnUsual,2023-08-27T06:53:33Z,2023-08-27T06:53:33Z,0,India&#39;s Chnadryaan 3 successfully completes soft landing on South pole of moon. On August 23rd&#39;23.
